,Recipe_Name,Ingredients,Dish_Name
0,Einkorn Onion Rings,"onion,flour,baking,salt,egg,milk,bread,coconut,salt",onion_rings
1,Crispy Onion Rings,"onion,panko,cornmeal,paprika,onion,garlic,cayenne,salt,flour,egg,oil",onion_rings
2,Onion Rings,"onion,flour,baking,egg,bread,oil",onion_rings
3,Onion Rings_2,"oil,cake,onion",onion_rings
4,Onion Rings_3,"nut,onion,flour,egg,celery,baking,ale",onion_rings
5,Crispy Onion Rings_2,"onion,flour,salt,baking,cold",onion_rings
6,Spicy Buttermilk Onion Rings,"onion,butter,flour,salt,black",onion_rings
7,Best Ever Onion Rings,"egg,milk,flour,baking,onion,oil,onion",onion_rings
8,Onion Rings_4,"onion,flour,baking,egg,bread,oil",onion_rings
9,Classic Onion Rings,"onion,flour,soda,egg,cayenne",onion_rings
10,BACON WRAPPED ONION RINGS,"onion,bacon,black",onion_rings
11,Low Fat Baked Onion Rings,"onion,butter,bread,bread,corn,salt,baking",onion_rings
12,Homemade Onion Rings,"onion,flour,baking,salt,egg,milk,bread,oil,salt",onion_rings
13,Baked Onion Rings,"onion,flour,bread,egg,cajun",onion_rings
14,Oven Baked Onion Rings,"spray,crackers,cayenne,butter,flour,salt,black",onion_rings
15,Baked Onion Rings_2,"flour,creole,panko,cheese,onion,egg",onion_rings
16,Tempura Onion Rings,"onion,flour,flour,soda,paprika,salt,lemon,water,oil",onion_rings
17,Baked BBQ Onion Rings,"bread,flour,barbecue,onion,spray,egg",onion_rings
18,Onion Rings_5,"onion,flour,garlic,salt,black",onion_rings
19,Onion Rings_6,"onion,flour,baking,salt,egg,milk,bread,salt,oil",onion_rings
20,OMG Oven Baked Onion Rings,"onion,flour,starch,almond,apple,bread,salt,oil,spray",onion_rings
21,Brown Butter\u2013Fried Onion Rings,"butter,flour,salt,pepper,onion,butter",onion_rings
22,Onion Rings_7,"oil,cake,chili,salt,cold",onion_rings
23,Spicy Onion Rings,"onion,pork,spices,mayonnaise",onion_rings
24,Onion Rings_8,corn,onion_rings
25,Chili Onion Rings,"onion,butter,flour,salt,chili,nut",onion_rings
26,Crispy Onion Rings_3,"flour,corn",onion_rings
27,Crunchy Onion Rings,"cereal,flour,salad,egg,milk,oil,onion",onion_rings
28,Onion Rings_9,"onion,flour,salt,baking,egg,milk,mayonnaise,horseradish,ketchup,paprika,garlic",onion_rings
29,Low Carb Onion Rings,"onion,egg,coconut,cheese,garlic,parsley,cayenne",onion_rings
30,Hooters Onion Rings,"flour,cornmeal,beer,black",onion_rings
31,Baked Onion Rings_3,"onion,flour,butter,bread,oregano",onion_rings
32,Fried Onion Rings,"oil,flour,beer,salt,black",onion_rings
33,Onion Rings_10,"onion,flour,baking,salt,egg,milk,bread,black",onion_rings
34,Onion Rings II,"onion,flour,salt,pepper,egg,baking",onion_rings
35,Onion Rings In Batter,"onion,flour,beer,egg,salt,pepper,oil",onion_rings
36,Homemade Onion Rings_2,"onion,flour,baking,salt,egg,milk,bread,oil",onion_rings
37,Onion Rings_11,"onion,almond,flax,paprika,chipotle,salt",onion_rings
38,Old Fashioned Onion Rings,"onion,flour,baking,salt,egg,milk,bread,salt,oil",onion_rings
39,Baked Onion Rings_4,"onion,butter,flour,paprika,salt,pepper,egg,bread",onion_rings
40,BACON WRAPPED ONION RINGS_2,"onion,bacon,black",onion_rings
41,Tempura Onion Rings_2,"onion,oil,flour,corn",onion_rings
42,Crispy Chickpea Onion Rings,"oil,flour,garlic,paprika,pepper,water,onion",onion_rings
43,Baked Onion Rings with Kettle Chips,"flour,salt,onion,egg,water",onion_rings
44,Sonny's Onion Rings,"onion,egg,milk,beer,flour,baking",onion_rings
45,Crispy Chickpea Onion Rings_2,"oil,chickpea,garlic,paprika,pepper,water,onion",onion_rings
46,Beer Battered Onion Rings,"oil,flour,salt,beer,onion",onion_rings
47,Barbecue Onion Rings,"onion,barbecue,bread,bread,salt,black",onion_rings
48,Baked Onion Rings_5,"butter,onion,flour,polenta,salt,pepper,paprika",onion_rings
50,Chai Apple Pie,"apple,lemon,pie,corn",apple_pie
51,Perfect Apple Pie,"pie,apple,sugar,flour,cinnamon,salt,nut,lemon",apple_pie
52,Easy Homemade Apple Pie,"crust,flour,salt,oil,milk,apple,brown",apple_pie
53,Classic Apple Pie,"apple,coconut,cinnamon,salt,lemon,crust,arrowroot,coconut,coconut,water",apple_pie
54,Apple Pie,"sugar,cinnamon,flour,lemon,apple",apple_pie
